plant_id_eia,technology_description,class_atb,cf_atb
60430,Solar Photovoltaic,6,0.2537975724560726
60431,Solar Photovoltaic,10,0.20237932814438855
60432,Solar Photovoltaic,3,0.2953626825189205
60434,Solar Photovoltaic,6,0.2537975724560726
60435,Solar Photovoltaic,8,0.23163275150342633
60436,Solar Photovoltaic,2,0.30974988165310763
60437,Solar Photovoltaic,8,0.23163275150342633
60438,Solar Photovoltaic,6,0.2537975724560726
60439,Solar Photovoltaic,6,0.2537975724560726
60440,Solar Photovoltaic,6,0.2537975724560726
60442,Solar Photovoltaic,8,0.23163275150342633
60443,Solar Photovoltaic,8,0.23163275150342633
60445,Solar Photovoltaic,6,0.2537975724560726
60446,Solar Photovoltaic,2,0.30974988165310763
60447,Solar Photovoltaic,8,0.23163275150342633
60448,Solar Photovoltaic,5,0.26753870312354816
60449,Solar Photovoltaic,4,0.28148929329880334
60450,Solar Photovoltaic,3,0.2953626825189205
60451,Solar Photovoltaic,8,0.23163275150342633
60452,Solar Photovoltaic,8,0.23163275150342633
60453,Solar Photovoltaic,9,0.22047669886675608
60454,Solar Photovoltaic,9,0.22047669886675608
60455,Solar Photovoltaic,10,0.20237932814438855
60456,Solar Photovoltaic,10,0.20237932814438855
60458,Solar Photovoltaic,8,0.23163275150342633
60461,Solar Photovoltaic,8,0.23163275150342633
60462,Solar Photovoltaic,9,0.22047669886675608
60463,Solar Photovoltaic,9,0.22047669886675608
60465,Solar Photovoltaic,7,0.2408794703868765
60467,Solar Photovoltaic,1,0.3202687659970471
60469,Solar Photovoltaic,5,0.26753870312354816
60472,Solar Photovoltaic,4,0.28148929329880334
60473,Solar Photovoltaic,8,0.23163275150342633
60474,Solar Photovoltaic,1,0.3202687659970471
60475,Solar Photovoltaic,1,0.3202687659970471
60476,Solar Photovoltaic,8,0.23163275150342633
60477,Solar Photovoltaic,9,0.22047669886675608
60478,Solar Photovoltaic,9,0.22047669886675608
60480,Solar Photovoltaic,6,0.2537975724560726
60481,Solar Photovoltaic,1,0.3202687659970471
60484,Solar Photovoltaic,6,0.2537975724560726
60485,Solar Photovoltaic,1,0.3202687659970471
60487,Solar Photovoltaic,6,0.2537975724560726
60489,Solar Photovoltaic,8,0.23163275150342633
60490,Solar Photovoltaic,3,0.2953626825189205
60491,Solar Photovoltaic,1,0.3202687659970471
60492,Solar Photovoltaic,9,0.22047669886675608
60493,Solar Photovoltaic,9,0.22047669886675608
60494,Solar Photovoltaic,9,0.22047669886675608
60495,Solar Photovoltaic,8,0.23163275150342633
60496,Solar Photovoltaic,7,0.2408794703868765
60497,Solar Photovoltaic,5,0.26753870312354816
60498,Solar Photovoltaic,9,0.22047669886675608
60499,Solar Photovoltaic,8,0.23163275150342633
60500,Solar Photovoltaic,8,0.23163275150342633
60501,Solar Photovoltaic,8,0.23163275150342633
60507,Solar Photovoltaic,9,0.22047669886675608
60509,Solar Photovoltaic,2,0.30974988165310763
60510,Solar Photovoltaic,6,0.2537975724560726
60511,Solar Photovoltaic,4,0.28148929329880334
60512,Solar Photovoltaic,5,0.26753870312354816
60513,Solar Photovoltaic,5,0.26753870312354816
60514,Solar Photovoltaic,4,0.28148929329880334
60515,Solar Photovoltaic,4,0.28148929329880334
60516,Solar Photovoltaic,2,0.30974988165310763
60518,Solar Photovoltaic,10,0.20237932814438855
60519,Solar Photovoltaic,9,0.22047669886675608
60520,Solar Photovoltaic,9,0.22047669886675608
60521,Solar Photovoltaic,9,0.22047669886675608
60522,Solar Photovoltaic,9,0.22047669886675608
60523,Solar Photovoltaic,9,0.22047669886675608
60524,Solar Photovoltaic,9,0.22047669886675608
60525,Solar Photovoltaic,9,0.22047669886675608
60526,Solar Photovoltaic,9,0.22047669886675608
60527,Solar Photovoltaic,9,0.22047669886675608
