plant_id_eia,re_type,latitude,longitude
60123,solar,31.5,-102.5
63522,solar,31.5,-84.0
63351,solar,32.0,-101.0
65855,solar,32.0,-96.5
57795,solar,32.5,-113.0
66240,solar,32.5,-90.0
62163,solar,32.5,-88.5
60702,solar,32.5,-81.5
65644,solar,33.0,-100.5
65946,solar,33.0,-94.5
59871,solar,33.5,-115.0
65437,solar,33.5,-81.5
58528,solar,34.0,-116.5
65854,solar,34.0,-95.5
61996,solar,34.0,-79.5
65187,solar,34.5,-120.0
64632,solar,34.5,-117.0
8223,solar,34.5,-109.0
60198,solar,34.5,-106.5
60692,solar,34.5,-79.5
61167,solar,35.0,-117.5
60197,solar,35.0,-107.0
61617,solar,35.0,-98.5
58401,solar,35.0,-85.0
63463,solar,35.0,-81.5
61561,solar,35.0,-78.5
64392,solar,35.5,-94.0
65629,solar,35.5,-89.0
65630,solar,35.5,-86.5
63567,solar,35.5,-82.0
57994,solar,35.5,-81.5
64167,solar,35.5,-81.0
66362,solar,35.5,-78.0
63568,solar,35.5,-77.5
62544,solar,35.5,-77.0
64511,solar,35.5,-76.5
64633,solar,36.0,-119.0
57442,solar,36.0,-115.5
63504,solar,36.0,-115.0
65639,solar,36.0,-82.5
60624,solar,36.0,-78.5
66163,solar,36.5,-107.5
66383,solar,36.5,-79.0
61512,solar,36.5,-78.5
65895,solar,37.0,-117.0
59473,solar,37.5,-122.0
61995,solar,37.5,-120.5
60304,solar,37.5,-105.0
62379,solar,37.5,-104.5
62931,solar,37.5,-98.5
64842,solar,37.5,-84.5
61126,solar,37.5,-79.5
65022,solar,37.5,-77.5
65406,solar,38.0,-85.5
66117,solar,38.0,-79.5
64308,solar,38.5,-123.0
58603,solar,38.5,-112.5
65296,solar,39.0,-94.5
65726,solar,39.0,-91.5
58408,solar,39.5,-77.5
64148,solar,40.0,-120.0
63163,solar,40.0,-106.0
65425,solar,40.0,-84.0
65902,solar,40.0,-80.0
66440,solar,40.0,-77.0
65467,solar,40.0,-75.0
65940,solar,40.5,-122.5
62655,solar,40.5,-120.5
64427,solar,40.5,-112.0
64356,solar,40.5,-103.0
65332,solar,40.5,-78.5
65080,solar,40.5,-77.5
65985,solar,41.0,-81.5
65081,solar,41.0,-77.0
61192,solar,41.5,-88.0
62399,solar,42.0,-111.0
65301,solar,42.0,-89.0
63073,solar,42.0,-88.5
66109,solar,42.0,-85.0
64911,solar,42.0,-80.0
66473,solar,42.0,-75.0
65007,solar,42.5,-90.5
64997,solar,42.5,-89.5
64581,solar,42.5,-86.0
64627,solar,42.5,-71.5
65012,solar,43.0,-89.0
65572,solar,43.0,-86.0
63321,solar,43.0,-84.5
63538,solar,43.0,-84.0
65459,solar,43.0,-76.5
63925,solar,43.5,-119.5
62858,solar,43.5,-91.0
61959,solar,43.5,-72.5
60335,solar,44.0,-117.5
61176,solar,44.0,-95.5
60524,solar,44.0,-94.0
65000,solar,44.0,-89.5
65371,solar,44.0,-71.0
64337,solar,44.5,-70.0
63386,solar,44.5,-68.0
62745,solar,45.5,-119.5
61542,solar,45.5,-95.5
60519,solar,45.5,-94.5
65798,solar,46.5,-68.0
56322,solar,47.0,-120.0
61933,solar,47.0,-118.5
63154,solar,47.0,-96.5
66403,solar,47.0,-68.0
-987671669177855772,onshore_wind,38.0,-101.0
-7631960138239986466,onshore_wind,36.0,-95.0
-8933239234410447250,offshore_wind,38.5,-75.0
1852252781317867382,offshore_wind,30.0,-87.5
5714264006432440224,offshore_wind,30.5,-81.5
-7113410990755692924,offshore_wind,31.5,-81.0
5431364803206949483,solar,38.0,-100.5
-4315677791923150112,onshore_wind,39.5,-95.0
2926878604979604329,onshore_wind,38.0,-96.0
3789773510729334393,onshore_wind,37.0,-95.5
1215435375207613977,onshore_wind,39.5,-77.5
1848556403264609769,offshore_wind,43.5,-83.5
