plant_id_eia,plant_name_eia,generator_id,technology_description,capacity_mw,latitude,longitude,balancing_authority_code_eia,state
9990087,G372,1,onshore_wind,1.65,45.579135,-95.432801,MISO,MN
9990088,G374,1,onshore_wind,6,43.692187,-95.734382,MISO,MN
9990089,G375,1,onshore_wind,20,44.016183,-95.180153,MISO,MN
9990090,G376,1,onshore_wind,160,43.817925,-89.04964,MISO,WI
9990091,G377,1,onshore_wind,200,47.605286,-92.399308,MISO,MN
9990092,G378,1,onshore_wind,100,42.686352,-89.071451,MISO,WI
9990093,G379,1,onshore_wind,100,42.696622,-88.510207,MISO,WI
9990094,G380,1,onshore_wind,150,48.202195,-100.025064,MISO,ND
9990095,G382,1,onshore_wind,8,44.035805,-96.248354,MISO,MN
9990096,G384,1,onshore_wind,99,44.121694,-87.806347,MISO,WI
9990097,G385,1,onshore_wind,2,43.692187,-95.734382,MISO,MN
9990098,G386,1,onshore_wind,100,43.695879,-94.549583,MISO,MN
9990099,G387,1,onshore_wind,19.79,43.692187,-95.734382,MISO,MN
9990100,G394,1,onshore_wind,6.6,44.410716,-96.278048,MISO,MN
9990101,G395,1,onshore_wind,4.94,44.410716,-96.278048,MISO,MN
9990102,G397,1,onshore_wind,5,44.035805,-96.248354,MISO,MN
9990103,G398,1,onshore_wind,2,44.035805,-96.248354,MISO,MN
9990104,G402,1,onshore_wind,3.3,44.410716,-96.278048,MISO,MN
9990105,G408,1,onshore_wind,12,48.229672,-100.637095,MISO,ND
9990106,G410,1,onshore_wind,99,44.49981,-87.630757,MISO,WI
9990107,G411,1,onshore_wind,19.79,43.986156,-94.599966,MISO,MN
9990108,G413,1,onshore_wind,150,40.508485,-88.842364,MISO,IL
9990109,G414,1,onshore_wind,10,46.905613,-96.495241,MISO,MN
9990110,G418,1,onshore_wind,140,43.659082,-86.266417,MISO,MI
9990111,G419,1,onshore_wind,1.5,43.381552,-96.194611,MISO,IA
9990112,G420,1,onshore_wind,99,44.915168,-89.764694,MISO,WI
9990113,G421,1,onshore_wind,50,44.411707,-87.997111,MISO,WI
9990114,G423,1,onshore_wind,19,43.466828,-89.342991,MISO,WI
9990115,G424,1,onshore_wind,100,47.605286,-92.399308,MISO,MN
9990116,G425,1,onshore_wind,200,43.691893,-95.129111,MISO,MN
9990117,G426,1,onshore_wind,101,43.691893,-95.129111,MISO,MN
9990118,G427,1,onshore_wind,98,43.74216,-88.490046,MISO,WI
9990119,G429,1,onshore_wind,200,43.691893,-95.129111,MISO,MN
9990120,G430,1,onshore_wind,8.25,45.579135,-95.432801,MISO,MN
9990121,G432,1,onshore_wind,65,40.626943,-88.190335,MISO,IL
9990122,G438,1,onshore_wind,20,45.762137,-97.622544,MISO,SD
9990123,G439,1,onshore_wind,100,40.608823,-87.300417,MISO,IN
9990124,G442,1,onshore_wind,50,44.016183,-95.180153,MISO,MN
9990125,G443,1,onshore_wind,7,44.410716,-96.278048,MISO,MN
9990126,G444,1,onshore_wind,5,44.410716,-96.278048,MISO,MN
9990127,G445,1,onshore_wind,200,43.365156,-92.313669,MISO,IA
9990128,G446,1,onshore_wind,19.5,46.477149,-98.510844,MISO,ND
9990129,G447,1,onshore_wind,150,40.306516,-86.463556,MISO,IN
9990130,G448,1,onshore_wind,100,40.473942,-92.526649,MISO,MO
9990131,G449,1,onshore_wind,100,40.376036,-94.899105,MISO,MO
9990132,G450,1,onshore_wind,1,48.769899,-99.835265,MISO,ND
9990133,G474,1,onshore_wind,20,45.943024,-95.975288,MISO,MN
9990134,G480,1,onshore_wind,80,39.896804,-83.391412,MISO,OH
9990135,G481,1,onshore_wind,1,48.769899,-99.835265,MISO,ND
9990136,G483,1,onshore_wind,50,42.706527,-89.58238,MISO,WI
9990137,G485,1,onshore_wind,60,43.428739,-88.722799,MISO,WI
9990138,G488,1,onshore_wind,20,44.016183,-95.180153,MISO,MN
9990139,G489,1,onshore_wind,20,44.440121,-95.840616,MISO,MN
9990140,G491,1,onshore_wind,100,44.035805,-96.248354,MISO,MN
9990141,G492,1,onshore_wind,5,44.027575,-95.761347,MISO,MN
9990142,G494,1,onshore_wind,20,43.695879,-94.549583,MISO,MN
9990143,G496,1,onshore_wind,11.55,44.430749,-92.70206,MISO,MN
9990144,G499,1,onshore_wind,109.5,42.046608,-93.435588,MISO,IA
9990145,G501,1,onshore_wind,79.19,40.508485,-88.842364,MISO,IL
9990146,G502,1,onshore_wind,50,47.142166,-101.309263,MISO,ND
9990147,G503,1,onshore_wind,158,43.852661,-83.020298,MISO,MI
9990148,G504,1,onshore_wind,158,43.457406,-82.797498,MISO,MI
9990149,G506,1,onshore_wind,100,43.92897,-90.626014,MISO,WI
9990150,G507,1,onshore_wind,68,43.74216,-88.490046,MISO,WI
9990151,G507b,1,onshore_wind,98,43.74216,-88.490046,MISO,WI
9990152,G509,1,onshore_wind,75,47.605286,-92.399308,MISO,MN
9990153,G511,1,onshore_wind,100,43.852661,-83.020298,MISO,MI
9990154,G513,1,onshore_wind,100,43.659082,-86.266417,MISO,MI
9990155,G514,1,onshore_wind,150,43.691893,-95.129111,MISO,MN
9990156,G515,1,onshore_wind,100,40.51676,-89.51322,MISO,IL
9990157,G516,1,onshore_wind,6,43.692187,-95.734382,MISO,MN
9990158,G517,1,onshore_wind,130,44.016183,-95.180153,MISO,MN
9990159,G518,1,onshore_wind,8,43.691893,-95.129111,MISO,MN
9990160,G520,1,onshore_wind,150,44.440121,-95.840616,MISO,MN
9990161,G526,1,onshore_wind,52,43.852661,-83.020298,MISO,MI
9990162,G530,1,onshore_wind,14,42.048511,-94.392857,MISO,IA
9990163,G532,1,onshore_wind,20,44.016183,-95.180153,MISO,MN
9990164,G534,1,onshore_wind,4.94,43.073604,-93.735209,MISO,IA
9990165,G536,1,onshore_wind,20,43.691893,-95.129111,MISO,MN
9990166,G537,1,onshore_wind,100,40.762186,-87.795873,MISO,IL
9990167,G538,1,onshore_wind,50,43.396004,-95.192801,MISO,IA
9990168,G540,1,onshore_wind,80,43.388272,-93.245767,MISO,IA
9990169,G544,1,onshore_wind,200,41.374709,-90.114223,MISO,IL
9990170,G545,1,onshore_wind,200,41.374709,-90.114223,MISO,IL
9990171,G546,1,onshore_wind,100,42.696622,-88.510207,MISO,WI
9990172,G548,1,onshore_wind,80,43.388272,-93.245767,MISO,IA
9990173,G549,1,onshore_wind,20,45.579135,-95.432801,MISO,MN
9990174,G551,1,onshore_wind,99,43.365156,-92.313669,MISO,IA
9990175,G552,1,onshore_wind,50,43.37349,-94.666903,MISO,IA
9990176,G554,1,onshore_wind,100,43.084683,-94.675507,MISO,IA
9990177,G555,1,onshore_wind,100,45.586837,-95.98635,MISO,MN
9990178,G561,1,onshore_wind,210,41.41194,-89.503494,MISO,IL
9990179,G565,1,onshore_wind,60,43.852661,-83.020298,MISO,MI
9990180,G566,1,onshore_wind,3,44.350455,-85.067209,MISO,MI
9990181,G566d,1,onshore_wind,18,44.350455,-85.067209,MISO,MI
9990182,G569,1,onshore_wind,200,41.217043,-90.721218,MISO,IL
9990183,G570,1,onshore_wind,125,44.49981,-87.630757,MISO,WI
9990184,G571,1,onshore_wind,100,40.306516,-86.463556,MISO,IN
9990185,G573,1,onshore_wind,80,42.751676,-93.257571,MISO,IA
9990186,G574,1,onshore_wind,80,42.751676,-93.257571,MISO,IA
9990187,G575,1,onshore_wind,40,42.751676,-93.257571,MISO,IA
9990188,G576,1,onshore_wind,40,43.692108,-96.252881,MISO,MN
9990189,G578,1,onshore_wind,300,40.202194,-92.615146,MISO,MO
9990190,G584,1,onshore_wind,3,44.035805,-96.248354,MISO,MN
9990191,G585,1,onshore_wind,8,44.423894,-95.245335,MISO,MN
9990192,G586,1,onshore_wind,30,44.410716,-96.278048,MISO,MN
9990193,G587,1,onshore_wind,20,44.58273,-94.228389,MISO,MN
9990194,G590,1,onshore_wind,98,44.085404,-88.187129,MISO,WI
9990195,G593,1,onshore_wind,100,43.691893,-95.129111,MISO,MN
9990196,G594,1,onshore_wind,50,43.691893,-95.129111,MISO,MN
9990197,G595,1,onshore_wind,150,43.073604,-93.735209,MISO,IA
9990198,G596,1,onshore_wind,1,46.021882,-94.218375,MISO,MN
9990199,G598,1,onshore_wind,144,39.972006,-91.189213,MISO,IL
9990200,G599,1,onshore_wind,144,39.972006,-91.189213,MISO,IL
9990201,G600,1,onshore_wind,110,48.382555,-96.402899,MISO,MN
9990202,G602,1,onshore_wind,32,43.692187,-95.734382,MISO,MN
9990203,G603,1,onshore_wind,6.3,44.410716,-96.278048,MISO,MN
9990204,G604,1,onshore_wind,44,44.022332,-93.222635,MISO,MN
9990205,G605,1,onshore_wind,200,40.003048,-86.907534,MISO,IN
9990206,G606,1,onshore_wind,30,40.608823,-87.300417,MISO,IN
9990207,G608,1,onshore_wind,6,45.579135,-95.432801,MISO,MN
9990208,G611,1,onshore_wind,99,44.085404,-88.187129,MISO,WI
9990209,G612,1,onshore_wind,150,42.046608,-93.435588,MISO,IA
9990210,G613,1,onshore_wind,17,44.423894,-95.245335,MISO,MN
9990211,G614,1,onshore_wind,200,43.37349,-94.666903,MISO,IA
9990212,G616,1,onshore_wind,120,40.608823,-87.300417,MISO,IN
9990213,G617,1,onshore_wind,50,44.037017,-94.054668,MISO,MN
9990214,G618,1,onshore_wind,138,44.727888,-95.919791,MISO,MN
9990215,G619,1,onshore_wind,50,46.425242,-95.713536,MISO,MN
